Country,Mode,Powertrain,Year,Value,Mass_vehicule,Scenario
Canada,Cars,BEV,2030,1724013.9882484511,1.0,Canada Net-zero
Canada,Trucks,BEV,2030,18147.51566577317,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2030,99811.33616175244,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2030,117.9588518275256,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2030,181.4751566577317,1.0,Canada Net-zero
Canada,Trucks,FCEV,2030,54.44254699731951,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2030,562572.9856389683,1.0,Canada Net-zero
Canada,Vans,PHEV,2030,58072.05013047415,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2031,1899.1053793217714,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2031,2345.9537038680705,5.6752374182090595,Canada Net-zero
Canada,Cars,BEV,2031,2122529.5415949207,1.0,Canada Net-zero
Canada,Trucks,BEV,2031,22342.416227314956,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2031,122883.28925023226,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2031,145.22570547754722,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2031,223.42416227314956,1.0,Canada Net-zero
Canada,Trucks,FCEV,2031,67.02724868194487,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2031,692614.9030467636,1.0,Canada Net-zero
Canada,Vans,PHEV,2031,71495.73192740786,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2032,2286.967200989355,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2032,2825.0771306339093,5.6752374182090595,Canada Net-zero
Canada,Cars,BEV,2032,2556022.1658116323,1.0,Canada Net-zero
Canada,Trucks,BEV,2032,26905.496482227707,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2032,147980.2306522524,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2032,174.8857271344801,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2032,269.0549648222771,1.0,Canada Net-zero
