Country,Mode,Battery_type,Powertrain,Year,EV_sales,Scenario,Associated_battery_cap,Installed_battery_cap
Canada,Buses,All,BEV,2047,3462.259557970889,Current Measures,300.0,1038677.8673912667
Canada,Cars,All,BEV,2047,3132520.552449852,Current Measures,65.0,203613835.9092404
Canada,Trucks,All,BEV,2047,32973.90055210371,Current Measures,350.0,11540865.193236299
Canada,Vans,All,BEV,2047,181356.4530365704,Current Measures,75.0,13601733.97774278
Canada,Buses,All,FCEV,2047,214.3303535886741,Current Measures,35.0,7501.562375603593
Canada,Cars,All,FCEV,2047,329.7390055210371,Current Measures,1.75,577.0432596618149
Canada,Trucks,All,FCEV,2047,98.92170165631111,Current Measures,350.0,34622.59557970889
Canada,Cars,All,PHEV,2047,1022190.917115215,Current Measures,15.0,15332863.756728224
Canada,Vans,All,PHEV,2047,105516.48176673186,Current Measures,21.8,2300259.3025147547
Canada,2 and 3 wheelers,All,BEV,2048,2887.7712490697313,Current Measures,3.0,8663.313747209195
Canada,Buses,All,BEV,2048,3567.246837086139,Current Measures,300.0,1070174.0511258417
Canada,Cars,All,BEV,2048,3227509.043077935,Current Measures,65.0,209788087.8000658
Canada,Trucks,All,BEV,2048,33973.77940082037,Current Measures,350.0,11890822.79028713
Canada,Vans,All,BEV,2048,186855.78670451202,Current Measures,75.0,14014184.002838401
Canada,Buses,All,FCEV,2048,220.8295661053324,Current Measures,35.0,7729.034813686633
Canada,Cars,All,FCEV,2048,339.7377940082037,Current Measures,1.75,594.5411395143565
Canada,Trucks,All,FCEV,2048,101.9213382024611,Current Measures,350.0,35672.46837086139
Canada,Cars,All,PHEV,2048,1053187.1614254315,Current Measures,15.0,15797807.421381472
Canada,Vans,All,PHEV,2048,108716.09408262518,Current Measures,21.8,2370010.8510012287
Canada,2 and 3 wheelers,All,BEV,2049,2967.845930182246,Current Measures,3.0,8903.537790546738
Canada,Buses,All,BEV,2049,3666.162619636892,Current Measures,300.0,1099848.7858910677
Canada,Cars,All,BEV,2049,3317004.274909569,Current Measures,65.0,215605277.86912197
Canada,Trucks,All,BEV,2049,34915.834472732306,Current Measures,350.0,12220542.065456307
Canada,Vans,All,BEV,2049,192037.08960002768,Current Measures,75.0,14402781.720002076
Canada,Buses,All,FCEV,2049,226.95292407276,Current Measures,35.0,7943.3523425466
Canada,Cars,All,FCEV,2049,349.1583447273231,Current Measures,1.75,611.0271032728153
Canada,Trucks,All,FCEV,2049,104.74750341819691,Current Measures,350.0,36661.62619636892
Canada,Cars,All,PHEV,2049,1082390.8686547016,Current Measures,15.0,16235863.029820524
Canada,Vans,All,PHEV,2049,111730.67031274339,Current Measures,21.8,2435728.6128178057
Canada,2 and 3 wheelers,All,BEV,2050,3043.2689212343585,Current Measures,3.0,9129.806763703076
Canada,Buses,All,BEV,2050,3759.3321968189134,Current Measures,300.0,1127799.6590456741
Canada,Cars,All,BEV,2050,3401300.5590266357,Current Measures,65.0,221084536.3367313
Canada,Trucks,All,BEV,2050,35803.16377922775,Current Measures,350.0,12531107.322729712
Canada,Vans,All,BEV,2050,196917.4007857526,Current Measures,75.0,14768805.058931446
Canada,Buses,All,FCEV,2050,232.72056456498035,Current Measures,35.0,8145.2197597743125
Canada,Cars,All,FCEV,2050,358.0316377922775,Current Measures,1.75,626.5553661364856
Canada,Trucks,All,FCEV,2050,107.40949133768324,Current Measures,350.0,37593.321968189135
Canada,Cars,All,PHEV,2050,1109898.0771560601,Current Measures,15.0,16648471.157340903
Canada,Vans,All,PHEV,2050,114570.12409352878,Current Measures,21.8,2497628.7052389276
Canada,2 and 3 wheelers,All,BEV,2024,170.0,Canada Net-zero,3.0,510.0
Canada,Buses,All,BEV,2024,210.0,Canada Net-zero,300.0,63000.0
Canada,Cars,All,BEV,2024,190000.0,Canada Net-zero,65.0,12350000.0
Canada,Trucks,All,BEV,2024,2000.0,Canada Net-zero,350.0,700000.0
Canada,Vans,All,BEV,2024,11000.0,Canada Net-zero,75.0,825000.0
Canada,Buses,All,FCEV,2024,13.0,Canada Net-zero,35.0,455.0
Canada,Cars,All,FCEV,2024,20.0,Canada Net-zero,1.75,35.0
Canada,Trucks,All,FCEV,2024,6.0,Canada Net-zero,350.0,2100.0
Canada,Cars,All,PHEV,2024,62000.0,Canada Net-zero,15.0,930000.0
Canada,Vans,All,PHEV,2024,6400.0,Canada Net-zero,21.8,139520.0
Canada,2 and 3 wheelers,All,BEV,2025,270.0108876383884,Canada Net-zero,3.0,810.0326629151652
Canada,Buses,All,BEV,2025,333.54286120036215,Canada Net-zero,300.0,100062.85836010864
Canada,Cars,All,BEV,2025,301776.87441937526,Canada Net-zero,65.0,19615496.837259393
Canada,Trucks,All,BEV,2025,3176.5986780986873,Canada Net-zero,350.0,1111809.5373345406
Canada,Vans,All,BEV,2025,17471.29272954278,Canada Net-zero,75.0,1310346.9547157085
Canada,Buses,All,FCEV,2025,20.647891407641467,Canada Net-zero,35.0,722.6761992674514
Canada,Cars,All,FCEV,2025,31.76598678098687,Canada Net-zero,1.75,55.59047686672702
Canada,Trucks,All,FCEV,2025,9.529796034296062,Canada Net-zero,350.0,3335.4286120036218
Canada,Cars,All,PHEV,2025,98474.5590210593,Canada Net-zero,15.0,1477118.3853158895
Canada,Vans,All,PHEV,2025,10165.1157699158,Canada Net-zero,21.8,221599.52378416443
Canada,2 and 3 wheelers,All,BEV,2026,418.67022881792207,Canada Net-zero,3.0,1256.010686453766
Canada,Buses,All,BEV,2026,517.1808708927273,Canada Net-zero,300.0,155154.2612678182
Canada,Cars,All,BEV,2026,467925.5498553247,Canada Net-zero,65.0,30415160.740596104
Canada,Trucks,All,BEV,2026,4925.532103740259,Canada Net-zero,350.0,1723936.2363090906
Canada,Vans,All,BEV,2026,27090.426570571428,Canada Net-zero,75.0,2031781.992792857
Canada,Buses,All,FCEV,2026,32.01595867431169,Canada Net-zero,35.0,1120.5585536009091
Canada,Cars,All,FCEV,2026,49.255321037402595,Canada Net-zero,1.75,86.19681181545454
Canada,Trucks,All,FCEV,2026,14.776596311220779,Canada Net-zero,350.0,5171.808708927272
Canada,Cars,All,PHEV,2026,152691.49521594803,Canada Net-zero,15.0,2290372.4282392203
Canada,Vans,All,PHEV,2026,15761.702731968831,Canada Net-zero,21.8,343605.11955692054
Canada,2 and 3 wheelers,All,BEV,2027,636.9776744241091,Canada Net-zero,3.0,1910.9330232723273
Canada,Buses,All,BEV,2027,786.8547742886053,Canada Net-zero,300.0,236056.4322865816
Canada,Cars,All,BEV,2027,711916.2243563571,Canada Net-zero,65.0,46274554.58316322
Canada,Trucks,All,BEV,2027,7493.8549932248125,Canada Net-zero,350.0,2622849.247628684
Canada,Vans,All,BEV,2027,41216.202462736466,Canada Net-zero,75.0,3091215.184705235
