x,y,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,year,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code
18.043765,65.542091,SWE,"Copper, smelter",Estimates.,18.043765,,65.542091,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,160000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Sweden,,,SE,Copper,*
18.043765,65.542091,SWE,"Copper, refined",,18.043765,,65.542091,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,96300,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Sweden,,,SE,Copper,
18.043765,65.542091,SWE,"Copper (mine production, metal content)",,18.043765,Ores and concentrates (metal content),65.542091,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,73780,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Sweden,,,SE,Copper,
72.249192,38.314141,TJK,"Copper (mine production, metal content)",,72.249192,Ores and concentrates (metal content),38.314141,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,890,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Tajikistan,,,TJ,Copper,
34.022162,-5.686961,TZA,"Copper, smelter",Estimates.,34.022162,,-5.686961,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,10000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Tanzania,,,TZ,Copper,*
34.022162,-5.686961,TZA,"Copper (mine production, metal content)",Estimates.,34.022162,Ores and concentrates (metal content),-5.686961,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,10000,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Tanzania,,,TZ,Copper,*
33.526313,39.351717,TUR,"Copper, smelter",,33.526313,,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,84000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Turkey,,,TR,Copper,
33.526313,39.351717,TUR,"Copper, refined",,33.526313,,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,141700,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Turkey,,,TR,Copper,
33.526313,39.351717,TUR,"Copper (mine production, metal content)",,33.526313,Ores and concentrates (metal content),39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,127000,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Turkey,,,TR,Copper,
31.971487999999997,49.685680999999995,UKR,"Copper, refined",Estimates.,31.971488,,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,2400,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Ukraine,,,UA,Copper,*
63.826062,41.895281,UZB,"Copper, refined",Estimates.,63.826062,,41.895281,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,149000,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Uzbekistan,,,UZ,Copper,*
